Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,6325.000000,6375.000000,6250.000000,6350.000000,6313.608398,2141400
2020-05-19,6375.000000,6625.000000,6375.000000,6525.000000,6487.605469,4563900
2020-05-20,6550.000000,6600.000000,6450.000000,6550.000000,6512.461914,1546500
2020-05-26,6600.000000,6825.000000,6550.000000,6825.000000,6785.886230,2588600
2020-05-27,6850.000000,7000.000000,6775.000000,6975.000000,6935.026367,3214700
2020-05-28,7050.000000,7425.000000,7000.000000,7225.000000,7183.593750,3579300
2020-05-29,7225.000000,7400.000000,7100.000000,7400.000000,7357.590820,11900200
2020-06-02,7400.000000,7625.000000,7300.000000,7350.000000,7307.877441,2695200
2020-06-03,7400.000000,7725.000000,7350.000000,7700.000000,7655.871582,3576400
2020-06-04,7850.000000,8000.000000,7700.000000,7875.000000,7829.868652,2815100
2020-06-05,7800.000000,7925.000000,7700.000000,7850.000000,7805.011719,1053100
2020-06-08,8100.000000,8500.000000,7950.000000,8375.000000,8327.002930,2582700
2020-06-09,8450.000000,8900.000000,8375.000000,8900.000000,8848.994141,3280500
2020-06-10,8900.000000,8975.000000,8600.000000,8600.000000,8550.713867,3422800
2020-06-11,8600.000000,8850.000000,8350.000000,8550.000000,8501.000000,2373900
2020-06-12,8400.000000,8400.000000,8050.000000,8275.000000,8227.576172,2577200
2020-06-15,8300.000000,8400.000000,7875.000000,7925.000000,7879.582031,2403600
2020-06-16,8175.000000,8475.000000,8175.000000,8475.000000,8426.429688,1608600
2020-06-17,8525.000000,8675.000000,8475.000000,8650.000000,8600.426758,1580500
2020-06-18,8650.000000,8650.000000,8475.000000,8550.000000,8501.000000,891100
2020-06-19,8550.000000,8625.000000,8400.000000,8400.000000,8400.000000,1205800
2020-06-22,8400.000000,8800.000000,8400.000000,8650.000000,8650.000000,2445000
2020-06-23,8750.000000,8925.000000,8675.000000,8825.000000,8825.000000,1839800
2020-06-24,8900.000000,9000.000000,8750.000000,8775.000000,8775.000000,1614200
2020-06-25,8700.000000,8700.000000,8400.000000,8450.000000,8450.000000,1994200
2020-06-26,8500.000000,8575.000000,8400.000000,8425.000000,8425.000000,882300
2020-06-29,8425.000000,8500.000000,8200.000000,8200.000000,8200.000000,1494400
2020-06-30,8275.000000,8375.000000,8225.000000,8225.000000,8225.000000,743000
2020-07-01,8275.000000,8375.000000,8250.000000,8325.000000,8325.000000,554900
2020-07-02,8325.000000,8525.000000,8300.000000,8450.000000,8450.000000,1235500
2020-07-03,8500.000000,8575.000000,8475.000000,8550.000000,8550.000000,1151800
2020-07-06,8600.000000,8675.000000,8525.000000,8600.000000,8600.000000,1703600
2020-07-07,8700.000000,8825.000000,8625.000000,8700.000000,8700.000000,1707800
2020-07-08,8700.000000,8750.000000,8500.000000,8650.000000,8650.000000,1065500
2020-07-09,8675.000000,8750.000000,8650.000000,8675.000000,8675.000000,897200
2020-07-10,8725.000000,8725.000000,8425.000000,8475.000000,8475.000000,798700
2020-07-13,8550.000000,8650.000000,8475.000000,8575.000000,8575.000000,1015400
2020-07-14,8550.000000,8600.000000,8400.000000,8575.000000,8575.000000,2109100
2020-07-15,8625.000000,9175.000000,8625.000000,8850.000000,8850.000000,7281300
2020-07-16,8900.000000,9125.000000,8900.000000,8975.000000,8975.000000,3569300
2020-07-17,9025.000000,9275.000000,8875.000000,9175.000000,9175.000000,3210300
2020-07-20,9250.000000,9750.000000,9250.000000,9425.000000,9425.000000,7873200
2020-07-21,9525.000000,9675.000000,9350.000000,9550.000000,9550.000000,3280700
2020-07-22,9550.000000,9675.000000,9450.000000,9475.000000,9475.000000,2662800
2020-07-23,9525.000000,9550.000000,9400.000000,9425.000000,9425.000000,2523000
2020-07-24,9450.000000,9550.000000,9200.000000,9375.000000,9375.000000,2017000
2020-07-27,9475.000000,9600.000000,9400.000000,9400.000000,9400.000000,1525500
2020-07-28,9400.000000,9400.000000,9250.000000,9300.000000,9300.000000,1451500
2020-07-29,9400.000000,9700.000000,9300.000000,9700.000000,9700.000000,4891100
2020-07-30,9750.000000,10225.000000,9700.000000,9700.000000,9700.000000,4630200
2020-08-03,9650.000000,9700.000000,9025.000000,9550.000000,9550.000000,4558600
2020-08-04,9600.000000,9800.000000,9500.000000,9700.000000,9700.000000,1863000
2020-08-05,9725.000000,9800.000000,9550.000000,9750.000000,9750.000000,2306100
2020-08-06,9775.000000,9800.000000,9675.000000,9700.000000,9700.000000,1413500
2020-08-07,9750.000000,10175.000000,9725.000000,9750.000000,9750.000000,6247200
2020-08-10,9850.000000,10125.000000,9750.000000,10125.000000,10125.000000,3044700
2020-08-11,10100.000000,10225.000000,10000.000000,10175.000000,10175.000000,2096800
2020-08-12,10100.000000,10200.000000,9850.000000,10000.000000,10000.000000,2736100
